Description,Code,Number of jobs,Median,Median annual percentage change,Mean,Mean annual percentage change,10,20,25,30,40,60,70,75,80,90
Residential care activities ,87,544,15434,1.5,17679,1.8,x,9259,10489,11592,13529,17433,20238,21828,24104,31137
Social work activities without accommodation ,88,580,15680,3.5,17957,2.4,5225,8220,9459,10714,13315,18142,21477,23492,25515,32599
"ARTS, ENTERTAINMENT AND RECREATION ",R,454,17344,4,x,,2437,6082,7622,9540,13704,20429,24679,27202,30529,x
"Creative, arts and entertainment activities ",90,48,25565,0.5,36461,8.6,x,x,x,x,22761,29488,x,x,x,x
"Libraries, archives, museums and other cultural activities ",91,50,22005,3.8,25336,8,x,x,x,14588,19308,25726,28904,31106,x,x
Gambling and betting activities ,92,94,17723,3.2,22400,5,6851,9533,11964,13360,15802,19443,22318,24336,27673,x
Sports activities and amusement and recreation activities ,93,262,14569,2,x,,1531,3547,5153,6704,10199,18199,21663,24564,27924,x
OTHER SERVICE ACTIVITIES ,S ,402,19144,0.7,23164,0.8,5795,8575,10222,11832,15557,23465,26426,29992,33082,44079
Activities of membership organisations ,94,196,23613,1.8,26202,3.5,4537,9436,11970,14712,19850,26150,31069,33684,36520,x
Repair of computers and personal and household goods ,95,30,24775,1.7,31745,-3.7,x,16188,17884,19185,22082,28476,x,x,x,x
Other personal service activities ,96,177,14731,1.7,18352,-0.5,6050,7775,8832,9794,11978,17105,20645,23284,25612,x
ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE ,T ,64,6812,-1.6,10181,-6.4,1365,2302,2834,3415,4995,9634,12775,14400,x,x
Activities of households as employers of domestic personnel ,97,64,6812,-1.6,10181,-6.4,1365,2302,2834,3415,4995,9634,12775,14400,x,x
Undifferentiated goods- and services-producing activities of private households for own use ,98,:,,,,,,,,,,,,,,
ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES ,U ,x,31472,,30845,3.5,x,x,x,x,x,x,x,x,x,x
Activities of extraterritorial organisations and bodies ,99,x,31472,,30845,3.5,x,x,x,x,x,x,x,x,x,x
NOT CLASSIFIED,,x,x,,20561,,x,x,x,x,x,x,x,x,x,x
